"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Ace",0,-0.511484595659217,0.018,0.371,0
"2","Acta2",0,-1.17782675398516,0.185,0.648,0
"3","Adamts1",0,2.7315050444456,0.817,0.381,0
"4","Adamts4",0,2.6056074765727,0.648,0.107,0
"5","Adk",0,-0.563790051883565,0.242,0.718,0
"6","Aebp1",0,-1.08456990617018,0.577,0.97,0
"7","Akap12",0,2.23365232331285,0.772,0.565,0
"8","Aldh3a1",0,-0.73736226579265,0.087,0.489,0
"9","Alkal2",0,1.83255322112665,0.403,0.004,0
"10","Alpl",0,2.38416259838969,0.662,0.03,0
"11","Angptl7",0,-1.81446584274453,0.005,0.341,0
"12","Aqp1",0,-1.19738328575942,0.126,0.624,0
"13","Arid5b",0,1.22990830247814,0.865,0.728,0
"14","Arpc3",0,1.5248008492484,0.876,0.846,0
"15","Arrdc3",0,2.19479745581276,0.775,0.369,0
"16","Aspn",0,-2.07920726242518,0.158,0.846,0
"17","Atp1b3",0,1.44735293336485,0.81,0.634,0
"18","B2m",0,0.914823990233357,0.942,0.953,0
"19","Bgn",0,-1.5848948488527,0.88,0.999,0
"20","Boc",0,-0.70116898800702,0.234,0.715,0
"21","Brinp1",0,1.37003248438816,0.449,0.061,0
"22","Btg1",0,1.66532298174914,0.955,0.818,0
"23","C1qtnf2",0,-0.802248289382474,0.192,0.702,0
"24","Camk4",0,-0.433575028780161,0.012,0.334,0
"25","Car3",0,-1.45115613379358,0.005,0.346,0
"26","Ccn1",0,-1.78850912207672,0.151,0.592,0
"27","Ccn2",0,-1.54966272593953,0.629,0.95,0
"28","Ccn3",0,-1.60126893334121,0.047,0.565,0
"29","Ccn5",0,-1.38105076436428,0.037,0.553,0
"30","Cd109",0,-1.40457931287352,0.112,0.776,0
"31","Cd200",0,1.48547420351124,0.896,0.789,0
"32","Cebpb",0,1.46342012499334,0.97,0.932,0
"33","Cebpd",0,2.19179550536776,0.961,0.837,0
"34","Cfh",0,2.09204390803831,0.759,0.196,0
"35","Cgref1",0,-0.750141812172282,0.126,0.601,0
"36","Ch25h",0,1.61961172957017,0.534,0.132,0
"37","Chad",0,-3.44235748137659,0.081,0.865,0
"38","Chil1",0,-2.08551942519192,0.22,0.85,0
"39","Cilp2",0,-2.26007892339767,0.018,0.661,0
"40","Clec11a",0,-1.61551743245675,0.304,0.943,0
"41","Clic4",0,1.47820294273469,0.947,0.863,0
"42","Clu",0,-1.96394451228746,0.396,0.981,0
"43","Col11a1",0,-1.19144892134299,0.441,0.927,0
"44","Col12a1",0,-3.56191339514078,0.325,0.995,0
"45","Col16a1",0,-1.56500463803626,0.317,0.929,0
"46","Col1a1",0,-3.06170172553873,0.822,0.992,0
"47","Col1a2",0,-2.66426537866818,0.896,0.998,0
"48","Col6a1",0,-1.30221503411882,0.576,0.971,0
"49","Col6a2",0,-1.05156609169129,0.372,0.9,0
"50","Col6a3",0,-1.96783582335514,0.19,0.908,0
"51","Col8a2",0,-1.8069019577024,0.237,0.948,0
"52","Comp",0,-3.25936073864079,0.077,0.755,0
"53","Copz2",0,-0.826567878024536,0.307,0.847,0
"54","Cp",0,1.42388149216104,0.531,0.13,0
"55","Cpxm2",0,-2.14468802353188,0.172,0.88,0
"56","Cpz",0,-0.931388136955488,0.055,0.544,0
"57","Crem",0,1.55597348074478,0.571,0.184,0
"58","Crtap",0,-0.641812052260303,0.276,0.769,0
"59","Cryab",0,-1.85443501685798,0.529,0.949,0
"60","Csnk1a1",0,1.05011250429467,0.938,0.925,0
"61","Cst3",0,-1.30750211664751,0.993,1,0
"62","Ctsf",0,-0.78816514930282,0.273,0.79,0
"63","Ctsk",0,-1.26970617894557,0.484,0.911,0
"64","Cxcl12",0,2.25780426304516,0.852,0.309,0
"65","Cybrd1",0,-0.470734229751002,0.021,0.369,0
"66","Cygb",0,1.52273676668539,0.809,0.535,0
"67","Cyp1b1",0,1.50716302950028,0.667,0.234,0
"68","Cyp26a1",0,-1.53422505995704,0.16,0.636,0
"69","Cyp26b1",0,-1.49680718327898,0.046,0.583,0
"70","Cyp2f2",0,-2.15784935727176,0.072,0.709,0
"71","Dap",0,-0.646979925674323,0.307,0.807,0
"72","Dcn",0,-2.01864798590015,0.953,1,0
"73","Ddost",0,-0.778526188908943,0.461,0.903,0
"74","Ecm2",0,-1.15363252076556,0.199,0.787,0
"75","Ecrg4",0,-4.21762294551149,0.315,0.994,0
"76","Edn3",0,2.00020920064164,0.822,0.296,0
"77","Efna5",0,-0.49139583203262,0.06,0.442,0
"78","Eif1",0,0.748607398503938,0.999,0.998,0
"79","Emb",0,-0.86525363076893,0.493,0.924,0
"80","Emcn",0,1.99599502030802,0.731,0.126,0
"81","Emilin1",0,-0.806067623739654,0.226,0.713,0
"82","Epas1",0,1.11247191793905,0.667,0.466,0
"83","Ets2",0,1.132184112124,0.779,0.666,0
"84","Fam114a1",0,-0.620494546795876,0.255,0.752,0
"85","Fam180a",0,-1.04999945492757,0.006,0.457,0
"86","Fat1",0,-0.81998581467549,0.184,0.676,0
"87","Fbln5",0,-1.45618872732691,0.486,0.954,0
"88","Fgf18",0,-1.57502182062719,0.106,0.653,0
"89","Fkbp7",0,-0.857448703075878,0.327,0.838,0
"90","Fkbp9",0,-1.19144433006244,0.367,0.914,0
"91","Fmod",0,-3.9700598040979,0.179,0.993,0
"92","Fn1",0,-2.59545623710959,0.092,0.885,0
"93","Fndc1",0,-1.26663653884324,0.402,0.921,0
"94","Fuca1",0,-0.805145208134197,0.544,0.944,0
"95","Furin",0,1.27171338911701,0.555,0.411,0
"96","G530011O06Rik",0,1.89125388161077,0.675,0.288,0
"97","Gadd45a",0,1.93240300148727,0.666,0.403,0
"98","Gas6",0,-1.63494919179966,0.484,0.959,0
"99","Gbp2",0,2.64046508813169,0.662,0.156,0
"100","Gdnf",0,-1.17322131133108,0.138,0.579,0
"101","Gem",0,2.65712578546,0.785,0.405,0
"102","Gfpt2",0,2.05932066043478,0.794,0.511,0
"103","Gpc3",0,2.73729778656469,0.711,0.167,0
"104","Gpc4",0,-0.557813704510511,0.151,0.6,0
"105","Gpx8",0,-0.628728527247444,0.376,0.848,0
"106","Grn",0,-0.544364316762206,0.239,0.696,0
"107","Gxylt2",0,-0.59710032072516,0.081,0.479,0
"108","H2-Q4",0,2.08833739434524,0.802,0.332,0
"109","H3f3b",0,1.18237116284201,0.998,0.996,0
"110","Hcfc1r1",0,-0.720031433549884,0.338,0.827,0
"111","Hs6st2",0,-0.660891039563169,0.046,0.463,0
"112","Hspg2",0,-0.785080944689868,0.249,0.785,0
"113","Htra1",0,-2.13550644951948,0.181,0.941,0
"114","Ifi35",0,1.18459180998683,0.548,0.282,0
"115","Ifi47",0,1.64326436671631,0.468,0.029,0
"116","Ifit1",0,3.49572797598123,0.724,0.068,0
"117","Ifit3",0,3.32453998001894,0.661,0.1,0
"118","Ifitm3",0,3.07560026838504,0.993,0.816,0
"119","Igfbp2",0,-4.24724054762283,0.125,0.854,0
"120","Igfbp6",0,-3.12619712427953,0.323,0.98,0
"121","Igtp",0,1.33488294222623,0.505,0.113,0
"122","Iigp1",0,2.43264923965316,0.57,0.072,0
"123","Ikbip",0,-0.781351780793147,0.315,0.847,0
"124","Il11ra1",0,-1.46438526710038,0.663,0.983,0
"125","Irf7",0,1.21912088849543,0.447,0.072,0
"126","Irgm1",0,1.87849211970904,0.75,0.295,0
"127","Isg15",0,3.97549643927057,0.813,0.138,0
"128","Itgbl1",0,-2.05447552256843,0.32,0.98,0
"129","Jpt1",0,1.1762319548844,0.666,0.481,0
"130","Junb",0,2.49425293529167,0.932,0.695,0
"131","Kcnj8",0,1.92151647912226,0.429,0.052,0
"132","Kdelr1",0,-0.534973565103289,0.386,0.843,0
"133","Kitl",0,2.07531103978542,0.829,0.359,0
"134","Lamtor4",0,-0.477048863542246,0.22,0.665,0
"135","Ldha",0,1.11543073889082,0.909,0.861,0
"136","Lgals1",0,-0.852405359674611,0.887,0.993,0
"137","Litaf",0,1.29673449569494,0.753,0.509,0
"138","Lox",0,-1.64733526043186,0.667,0.948,0
"139","Loxl1",0,-0.926965945471939,0.466,0.91,0
"140","Lrig3",0,-0.594820843311142,0.147,0.586,0
"141","Lrrfip1",0,-0.726282372319952,0.146,0.608,0
"142","Lsamp",0,1.74549427459373,0.749,0.252,0
"143","Ltbp2",0,-1.63204291007866,0.101,0.723,0
"144","Matn4",0,-2.01677973290922,0.039,0.677,0
"145","Medag",0,2.14134052443805,0.734,0.298,0
"146","Meg3",0,-0.854143640903767,0.481,0.916,0
"147","Met",0,-0.541789919425916,0.038,0.419,0
"148","Metrnl",0,2.58852623015233,0.823,0.453,0
"149","Mfap4",0,-1.23701979415832,0.432,0.883,0
"150","Mgarp",0,-0.864601941512934,0.186,0.639,0
"151","Mgll",0,-0.558607119616821,0.079,0.481,0
"152","Mmp23",0,-0.803701934237495,0.061,0.578,0
"153","Mmp3",0,-3.05990580695213,0.011,0.312,0
"154","Mpped2",0,-0.593315563817827,0.049,0.465,0
"155","Msrb3",0,-0.494552118283036,0.206,0.651,0
"156","Mt1",0,2.2431970953672,0.917,0.834,0
"157","Mxra7",0,-0.807098836385615,0.444,0.911,0
"158","Myo1e",0,-0.705885835842691,0.248,0.733,0
"159","Myoc",0,-3.01614023390042,0.054,0.641,0
"160","Ndufs2",0,2.84945270650926,0.772,0.491,0
"161","Nedd9",0,-0.967357119514896,0.37,0.817,0
"162","Nell2",0,-0.913016962054398,0.028,0.416,0
"163","Npr3",0,-0.851213628283852,0.206,0.675,0
"164","Nr2f1",0,1.36224245813365,0.443,0.031,0
"165","Nucb2",0,-0.804249498447209,0.204,0.754,0
"166","Nupr1",0,-1.97215873938893,0.557,0.964,0
"167","Oasl2",0,1.66783981260452,0.586,0.07,0
"168","Ogn",0,-1.91983483738286,0.466,0.987,0
"169","Olfml3",0,-1.63608921415801,0.363,0.925,0
"170","Omd",0,-1.77501895518946,0.108,0.807,0
"171","Osmr",0,1.26672736706006,0.732,0.505,0
"172","P3h3",0,-0.894122510518433,0.406,0.917,0
"173","P3h4",0,-0.540496955402806,0.226,0.688,0
"174","Pam",0,-1.11577328672252,0.49,0.96,0
"175","Parp14",0,2.07009152511755,0.665,0.117,0
"176","Parp9",0,1.11180769924785,0.502,0.168,0
"177","Pcolce",0,-1.71745719525523,0.75,0.991,0
